CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_dummy.py
MEM 0.441406 1751517840.4506
MEM 23.164062 1751517840.5509
MEM 23.164062 1751517840.6512
MEM 23.164062 1751517840.7515
MEM 23.164062 1751517840.8519
MEM 23.164062 1751517840.9522
MEM 23.164062 1751517841.0526
MEM 23.164062 1751517841.1529
MEM 23.164062 1751517841.2533
MEM 23.164062 1751517841.3536
MEM 23.164062 1751517841.4540
MEM 23.164062 1751517841.5543
MEM 23.164062 1751517841.6547
MEM 23.164062 1751517841.7550
MEM 23.164062 1751517841.8553
MEM 23.164062 1751517841.9557
MEM 23.164062 1751517842.0560
MEM 23.164062 1751517842.1563
MEM 23.164062 1751517842.2566
MEM 23.164062 1751517842.3570
MEM 23.164062 1751517842.4573
MEM 23.164062 1751517842.5576
MEM 23.164062 1751517842.6580
MEM 23.164062 1751517842.7583
MEM 23.164062 1751517842.8586
MEM 23.164062 1751517842.9590
MEM 23.164062 1751517843.0594
MEM 23.164062 1751517843.1598
MEM 23.164062 1751517843.2601
MEM 23.164062 1751517843.3605
MEM 23.164062 1751517843.4608
