CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_systems.py
MEM 0.441406 1751517851.0291
MEM 25.082031 1751517851.1295
MEM 29.820312 1751517851.2298
MEM 32.214844 1751517851.3301
MEM 33.714844 1751517851.4305
MEM 33.714844 1751517851.5308
MEM 33.714844 1751517851.6311
MEM 33.714844 1751517851.7315
MEM 33.714844 1751517851.8318
MEM 33.714844 1751517851.9322
MEM 33.714844 1751517852.0325
MEM 33.714844 1751517852.1328
MEM 33.714844 1751517852.2332
MEM 33.714844 1751517852.3335
MEM 33.714844 1751517852.4339
MEM 33.714844 1751517852.5342
MEM 33.714844 1751517852.6345
MEM 33.714844 1751517852.7349
MEM 33.714844 1751517852.8352
MEM 33.714844 1751517852.9355
MEM 33.714844 1751517853.0359
MEM 33.714844 1751517853.1362
MEM 33.714844 1751517853.2365
MEM 33.714844 1751517853.3369
MEM 33.714844 1751517853.4372
MEM 33.714844 1751517853.5375
MEM 33.714844 1751517853.6379
MEM 33.714844 1751517853.7382
MEM 33.714844 1751517853.8385
MEM 33.714844 1751517853.9389
MEM 33.714844 1751517854.0392
MEM 33.714844 1751517854.1395
MEM 33.714844 1751517854.2399
MEM 33.714844 1751517854.3402
MEM 33.714844 1751517854.4405
MEM 33.714844 1751517854.5409
MEM 33.714844 1751517854.6412
MEM 33.714844 1751517854.7415
MEM 33.714844 1751517854.8419
MEM 33.714844 1751517854.9422
MEM 33.714844 1751517855.0425
MEM 33.714844 1751517855.1429
MEM 33.714844 1751517855.2432
MEM 33.714844 1751517855.3436
MEM 33.714844 1751517855.4450
MEM 33.714844 1751517855.5453
MEM 33.714844 1751517855.6457
MEM 33.714844 1751517855.7460
MEM 33.714844 1751517855.8464
MEM 33.714844 1751517855.9467
MEM 33.714844 1751517856.0470
MEM 33.714844 1751517856.1474
MEM 33.714844 1751517856.2477
MEM 33.714844 1751517856.3481
MEM 33.714844 1751517856.4484
MEM 33.714844 1751517856.5488
MEM 33.714844 1751517856.6491
MEM 33.714844 1751517856.7494
MEM 33.714844 1751517856.8498
