CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_dummy.py
MEM 0.429688 1751613427.3635
MEM 23.003906 1751613427.4656
MEM 23.003906 1751613427.5659
MEM 23.003906 1751613427.6662
MEM 23.003906 1751613427.7665
MEM 23.003906 1751613427.8668
MEM 23.003906 1751613427.9671
MEM 23.003906 1751613428.0674
MEM 23.003906 1751613428.1677
MEM 23.003906 1751613428.2681
MEM 23.003906 1751613428.3684
