CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_disperse.py
MEM 0.281250 1752203826.0629
MEM 26.390625 1752203826.1632
MEM 31.660156 1752203826.2635
MEM 46.660156 1752203826.3638
MEM 60.910156 1752203826.4641
MEM 71.160156 1752203826.5645
MEM 81.160156 1752203826.6648
MEM 91.660156 1752203826.7651
MEM 107.535156 1752203826.8654
MEM 107.558594 1752203826.9657
MEM 107.636719 1752203827.0661
MEM 111.386719 1752203827.1664
MEM 131.386719 1752203827.2667
MEM 135.261719 1752203827.3670
MEM 141.906250 1752203827.4673
MEM 138.582031 1752203827.5677
MEM 145.207031 1752203827.6680
MEM 163.582031 1752203827.7683
MEM 163.898438 1752203827.8686
MEM 163.898438 1752203827.9690
MEM 162.429688 1752203828.0692
MEM 165.375000 1752203828.1695
MEM 173.500000 1752203828.2699
MEM 166.320312 1752203828.3702
MEM 165.449219 1752203828.4705
MEM 167.402344 1752203828.5708
MEM 165.449219 1752203828.6712
MEM 172.074219 1752203828.7715
MEM 167.695312 1752203828.8718
MEM 173.570312 1752203828.9721
MEM 168.675781 1752203829.0724
MEM 168.675781 1752203829.1728
MEM 167.593750 1752203829.2731
MEM 166.707031 1752203829.3734
MEM 173.707031 1752203829.4738
MEM 168.667969 1752203829.5741
MEM 166.703125 1752203829.6744
MEM 170.203125 1752203829.7747
MEM 166.703125 1752203829.8750
MEM 166.703125 1752203829.9754
MEM 169.648438 1752203830.0757
MEM 168.593750 1752203830.1760
MEM 167.675781 1752203830.2763
MEM 167.675781 1752203830.3767
MEM 169.640625 1752203830.4770
MEM 169.640625 1752203830.5773
MEM 171.941406 1752203830.6776
MEM 173.691406 1752203830.7779
MEM 170.015625 1752203830.8782
MEM 170.625000 1752203830.9785
MEM 169.578125 1752203831.0789
MEM 169.578125 1752203831.1793
MEM 168.648438 1752203831.2796
MEM 168.648438 1752203831.3798
MEM 170.617188 1752203831.4802
MEM 167.664062 1752203831.5805
MEM 167.664062 1752203831.6808
MEM 170.984375 1752203831.7811
MEM 170.269531 1752203831.8814
MEM 173.769531 1752203831.9818
MEM 170.566406 1752203832.0821
MEM 170.566406 1752203832.1824
MEM 169.625000 1752203832.2827
MEM 171.593750 1752203832.3830
MEM 171.593750 1752203832.4833
MEM 168.632812 1752203832.5836
MEM 171.589844 1752203832.6839
MEM 169.597656 1752203832.7843
MEM 172.847656 1752203832.8846
MEM 172.542969 1752203832.9849
MEM 173.531250 1752203833.0852
MEM 173.656250 1752203833.1855
MEM 170.574219 1752203833.2858
MEM 172.542969 1752203833.3861
MEM 169.589844 1752203833.4864
MEM 172.542969 1752203833.5868
MEM 172.542969 1752203833.6871
MEM 170.566406 1752203833.7874
MEM 170.566406 1752203833.8877
MEM 172.519531 1752203833.9880
MEM 172.519531 1752203834.0884
MEM 171.546875 1752203834.1887
MEM 173.515625 1752203834.2890
MEM 173.640625 1752203834.3893
MEM 170.558594 1752203834.4896
MEM 173.515625 1752203834.5900
MEM 173.515625 1752203834.6902
MEM 174.417969 1752203834.7905
MEM 174.542969 1752203834.8908
MEM 173.593750 1752203834.9912
MEM 172.523438 1752203835.0915
MEM 174.398438 1752203835.1918
MEM 174.523438 1752203835.2921
MEM 171.625000 1752203835.3924
MEM 171.625000 1752203835.4928
MEM 174.500000 1752203835.5931
MEM 174.500000 1752203835.6934
MEM 173.234375 1752203835.7937
MEM 174.484375 1752203835.8940
MEM 173.593750 1752203835.9943
MEM 173.593750 1752203836.0947
MEM 174.468750 1752203836.1950
MEM 174.468750 1752203836.2953
MEM 172.609375 1752203836.3956
MEM 174.359375 1752203836.4959
MEM 174.484375 1752203836.5963
MEM 174.468750 1752203836.6965
MEM 174.468750 1752203836.7969
MEM 174.468750 1752203836.8973
MEM 174.468750 1752203836.9976
MEM 173.714844 1752203837.0979
MEM 174.339844 1752203837.1982
MEM 173.386719 1752203837.2985
MEM 173.386719 1752203837.3988
MEM 174.261719 1752203837.4992
MEM 174.261719 1752203837.5995
MEM 174.261719 1752203837.6998
MEM 174.261719 1752203837.8001
MEM 174.261719 1752203837.9004
MEM 174.261719 1752203838.0007
MEM 174.261719 1752203838.1010
MEM 174.261719 1752203838.2013
