CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_dummy.py
MEM 0.281250 1751520794.8112
MEM 23.128906 1751520794.9115
MEM 23.128906 1751520795.0118
MEM 23.128906 1751520795.1121
MEM 23.128906 1751520795.2124
MEM 23.128906 1751520795.3126
MEM 23.128906 1751520795.4129
MEM 23.128906 1751520795.5132
MEM 23.128906 1751520795.6135
MEM 23.128906 1751520795.7137
MEM 23.128906 1751520795.8140
MEM 23.128906 1751520795.9143
MEM 23.128906 1751520796.0145
MEM 23.128906 1751520796.1148
MEM 23.128906 1751520796.2151
MEM 23.128906 1751520796.3154
MEM 23.128906 1751520796.4158
MEM 23.128906 1751520796.5161
MEM 23.128906 1751520796.6164
MEM 23.128906 1751520796.7166
MEM 23.128906 1751520796.8169
MEM 23.128906 1751520796.9173
MEM 23.128906 1751520797.0176
MEM 23.128906 1751520797.1179
MEM 23.128906 1751520797.2183
MEM 23.128906 1751520797.3186
MEM 23.128906 1751520797.4189
MEM 23.128906 1751520797.5192
MEM 23.128906 1751520797.6195
MEM 23.128906 1751520797.7198
MEM 23.128906 1751520797.8201
