CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_disperse.py
MEM 34.199219 1751841482.0084
MEM 34.199219 1751841482.1087
MEM 34.199219 1751841482.2089
MEM 34.199219 1751841482.3091
MEM 34.199219 1751841482.4094
MEM 34.199219 1751841482.5097
MEM 34.199219 1751841482.6100
MEM 34.199219 1751841482.7103
MEM 34.199219 1751841482.8106
MEM 34.199219 1751841482.9108
MEM 34.199219 1751841483.0110
MEM 34.199219 1751841483.1113
MEM 34.199219 1751841483.2115
MEM 34.199219 1751841483.3117
MEM 34.199219 1751841483.4120
MEM 34.199219 1751841483.5123
MEM 34.199219 1751841483.6126
MEM 34.199219 1751841483.7128
MEM 34.199219 1751841483.8131
MEM 34.199219 1751841483.9133
MEM 34.199219 1751841484.0135
MEM 34.199219 1751841484.1138
MEM 34.199219 1751841484.2141
MEM 34.199219 1751841484.3144
MEM 34.199219 1751841484.4147
MEM 34.199219 1751841484.5149
MEM 34.199219 1751841484.6151
MEM 34.199219 1751841484.7155
MEM 34.199219 1751841484.8158
MEM 34.199219 1751841484.9161
MEM 34.199219 1751841485.0164
MEM 34.199219 1751841485.1167
MEM 34.199219 1751841485.2169
MEM 34.199219 1751841485.3172
MEM 34.199219 1751841485.4175
MEM 34.199219 1751841485.5177
MEM 34.199219 1751841485.6179
MEM 34.199219 1751841485.7182
MEM 34.199219 1751841485.8184
MEM 34.199219 1751841485.9186
MEM 34.199219 1751841486.0189
MEM 34.199219 1751841486.1191
MEM 34.199219 1751841486.2193
MEM 34.199219 1751841486.3196
MEM 34.199219 1751841486.4198
MEM 34.199219 1751841486.5201
MEM 34.199219 1751841486.6203
MEM 34.199219 1751841486.7206
MEM 34.199219 1751841486.8209
MEM 34.199219 1751841486.9211
MEM 34.199219 1751841487.0214
MEM 34.199219 1751841487.1216
MEM 34.199219 1751841487.2218
MEM 34.199219 1751841487.3221
MEM 34.199219 1751841487.4224
MEM 34.199219 1751841487.5226
MEM 34.199219 1751841487.6230
MEM 34.199219 1751841487.7232
MEM 34.199219 1751841487.8235
MEM 34.199219 1751841487.9237
MEM 34.199219 1751841488.0240
MEM 34.199219 1751841488.1242
MEM 34.199219 1751841488.2245
MEM 34.199219 1751841488.3247
MEM 34.199219 1751841488.4250
MEM 34.199219 1751841488.5252
MEM 34.199219 1751841488.6255
MEM 34.199219 1751841488.7257
MEM 34.199219 1751841488.8259
MEM 34.199219 1751841488.9263
MEM 34.199219 1751841489.0265
MEM 34.199219 1751841489.1268
MEM 34.199219 1751841489.2271
MEM 34.199219 1751841489.3273
MEM 34.199219 1751841489.4275
MEM 34.199219 1751841489.5278
MEM 34.199219 1751841489.6281
MEM 34.199219 1751841489.7284
MEM 34.199219 1751841489.8287
MEM 34.199219 1751841489.9289
MEM 34.199219 1751841490.0292
MEM 34.199219 1751841490.1294
MEM 34.199219 1751841490.2297
MEM 34.199219 1751841490.3299
MEM 34.199219 1751841490.4301
MEM 34.199219 1751841490.5316
MEM 34.199219 1751841490.6318
MEM 34.199219 1751841490.7321
MEM 34.199219 1751841490.8324
MEM 34.199219 1751841490.9326
MEM 34.199219 1751841491.0329
MEM 34.199219 1751841491.1332
MEM 34.199219 1751841491.2334
MEM 34.199219 1751841491.3336
MEM 34.199219 1751841491.4339
MEM 34.199219 1751841491.5343
MEM 34.199219 1751841491.6346
MEM 34.199219 1751841491.7349
MEM 34.199219 1751841491.8352
MEM 34.199219 1751841491.9354
MEM 34.199219 1751841492.0357
MEM 34.199219 1751841492.1359
MEM 34.199219 1751841492.2361
MEM 34.199219 1751841492.3364
MEM 34.199219 1751841492.4366
MEM 34.199219 1751841492.5369
MEM 34.199219 1751841492.6371
MEM 34.199219 1751841492.7374
MEM 34.199219 1751841492.8378
MEM 34.199219 1751841492.9380
MEM 34.199219 1751841493.0384
MEM 34.199219 1751841493.1387
MEM 34.199219 1751841493.2390
MEM 34.199219 1751841493.3393
MEM 34.199219 1751841493.4396
MEM 34.199219 1751841493.5399
MEM 34.199219 1751841493.6401
MEM 34.199219 1751841493.7404
MEM 34.199219 1751841493.8406
MEM 34.199219 1751841493.9409
MEM 34.199219 1751841494.0411
MEM 34.199219 1751841494.1414
MEM 34.199219 1751841494.2417
MEM 34.199219 1751841494.3419
MEM 34.199219 1751841494.4422
MEM 34.199219 1751841494.5424
MEM 34.199219 1751841494.6427
MEM 34.199219 1751841494.7430
MEM 34.199219 1751841494.8433
MEM 34.199219 1751841494.9435
MEM 34.199219 1751841495.0438
MEM 34.199219 1751841495.1441
MEM 34.199219 1751841495.2444
MEM 34.199219 1751841495.3447
MEM 34.199219 1751841495.4450
MEM 34.199219 1751841495.5452
MEM 34.199219 1751841495.6454
MEM 34.199219 1751841495.7457
MEM 34.199219 1751841495.8460
MEM 34.199219 1751841495.9463
MEM 34.199219 1751841496.0466
MEM 34.199219 1751841496.1468
MEM 34.199219 1751841496.2471
MEM 34.199219 1751841496.3473
MEM 34.199219 1751841496.4476
MEM 34.199219 1751841496.5479
MEM 34.199219 1751841496.6481
MEM 34.199219 1751841496.7484
MEM 34.199219 1751841496.8486
MEM 34.199219 1751841496.9489
MEM 34.199219 1751841497.0491
MEM 34.199219 1751841497.1494
MEM 34.199219 1751841497.2496
MEM 34.199219 1751841497.3499
MEM 34.199219 1751841497.4501
MEM 34.199219 1751841497.5503
MEM 34.199219 1751841497.6505
MEM 34.199219 1751841497.7508
MEM 34.199219 1751841497.8511
MEM 34.199219 1751841497.9513
MEM 34.199219 1751841498.0516
MEM 34.199219 1751841498.1518
MEM 34.199219 1751841498.2521
MEM 34.199219 1751841498.3524
MEM 34.199219 1751841498.4527
MEM 34.199219 1751841498.5529
MEM 34.199219 1751841498.6533
MEM 34.199219 1751841498.7535
MEM 34.199219 1751841498.8538
MEM 34.199219 1751841498.9540
MEM 34.199219 1751841499.0543
MEM 34.199219 1751841499.1545
MEM 34.199219 1751841499.2548
MEM 34.199219 1751841499.3551
MEM 34.199219 1751841499.4553
MEM 34.199219 1751841499.5556
MEM 34.199219 1751841499.6559
MEM 34.199219 1751841499.7561
MEM 34.199219 1751841499.8564
MEM 34.199219 1751841499.9567
MEM 34.199219 1751841500.0570
MEM 34.199219 1751841500.1573
MEM 34.199219 1751841500.2575
MEM 34.199219 1751841500.3578
MEM 34.199219 1751841500.4580
MEM 34.199219 1751841500.5584
MEM 34.199219 1751841500.6587
MEM 34.199219 1751841500.7590
MEM 34.199219 1751841500.8592
MEM 34.199219 1751841500.9594
MEM 34.199219 1751841501.0597
MEM 34.199219 1751841501.1600
MEM 34.199219 1751841501.2603
MEM 34.199219 1751841501.3605
MEM 34.199219 1751841501.4608
MEM 34.199219 1751841501.5611
MEM 34.199219 1751841501.6614
MEM 34.199219 1751841501.7617
MEM 34.199219 1751841501.8620
MEM 34.199219 1751841501.9623
MEM 34.199219 1751841502.0625
MEM 34.199219 1751841502.1627
MEM 34.199219 1751841502.2629
MEM 34.199219 1751841502.3632
MEM 34.199219 1751841502.4634
MEM 34.199219 1751841502.5637
MEM 34.199219 1751841502.6640
MEM 34.199219 1751841502.7643
MEM 34.199219 1751841502.8646
MEM 34.199219 1751841502.9648
MEM 34.199219 1751841503.0651
MEM 34.199219 1751841503.1654
MEM 34.199219 1751841503.2656
MEM 34.199219 1751841503.3658
MEM 34.199219 1751841503.4661
MEM 34.199219 1751841503.5663
MEM 34.199219 1751841503.6666
MEM 34.199219 1751841503.7668
MEM 34.199219 1751841503.8671
MEM 34.199219 1751841503.9674
MEM 34.199219 1751841504.0676
MEM 34.199219 1751841504.1679
MEM 34.199219 1751841504.2682
MEM 34.199219 1751841504.3684
MEM 34.199219 1751841504.4686
MEM 34.199219 1751841504.5689
MEM 34.199219 1751841504.6692
MEM 34.199219 1751841504.7694
MEM 34.199219 1751841504.8697
MEM 34.199219 1751841504.9699
MEM 34.199219 1751841505.0703
MEM 34.199219 1751841505.1706
MEM 34.199219 1751841505.2708
MEM 34.199219 1751841505.3710
MEM 34.199219 1751841505.4712
MEM 34.199219 1751841505.5714
MEM 34.199219 1751841505.6717
MEM 34.199219 1751841505.7719
MEM 34.199219 1751841505.8722
MEM 34.199219 1751841505.9725
MEM 34.199219 1751841506.0728
MEM 34.199219 1751841506.1730
MEM 34.199219 1751841506.2733
MEM 34.199219 1751841506.3736
MEM 34.199219 1751841506.4739
MEM 34.199219 1751841506.5741
MEM 34.199219 1751841506.6744
MEM 34.199219 1751841506.7747
MEM 34.199219 1751841506.8749
MEM 34.199219 1751841506.9753
MEM 34.199219 1751841507.0755
MEM 34.199219 1751841507.1758
MEM 34.199219 1751841507.2761
MEM 34.199219 1751841507.3764
MEM 34.199219 1751841507.4766
MEM 34.199219 1751841507.5769
MEM 34.199219 1751841507.6771
MEM 34.199219 1751841507.7775
MEM 34.199219 1751841507.8777
MEM 34.199219 1751841507.9780
MEM 34.199219 1751841508.0783
MEM 34.199219 1751841508.1787
MEM 34.199219 1751841508.2790
MEM 34.199219 1751841508.3793
MEM 34.199219 1751841508.4797
MEM 34.199219 1751841508.5800
MEM 34.199219 1751841508.6803
MEM 34.199219 1751841508.7806
MEM 34.199219 1751841508.8810
MEM 34.199219 1751841508.9814
MEM 34.199219 1751841509.0817
MEM 34.199219 1751841509.1820
MEM 34.199219 1751841509.2823
MEM 34.199219 1751841509.3826
MEM 34.199219 1751841509.4829
MEM 34.199219 1751841509.5832
MEM 34.199219 1751841509.6835
MEM 34.199219 1751841509.7838
MEM 34.199219 1751841509.8841
MEM 34.199219 1751841509.9844
MEM 34.199219 1751841510.0847
MEM 34.199219 1751841510.1850
MEM 34.199219 1751841510.2852
MEM 34.199219 1751841510.3855
MEM 34.199219 1751841510.4857
MEM 34.199219 1751841510.5859
MEM 34.199219 1751841510.6862
MEM 34.199219 1751841510.7865
MEM 34.199219 1751841510.8867
MEM 34.199219 1751841510.9869
MEM 34.199219 1751841511.0872
MEM 34.199219 1751841511.1875
MEM 34.199219 1751841511.2878
MEM 34.199219 1751841511.3881
MEM 34.199219 1751841511.4884
MEM 34.199219 1751841511.5886
MEM 34.199219 1751841511.6888
MEM 34.199219 1751841511.7891
MEM 34.199219 1751841511.8893
MEM 34.199219 1751841511.9896
MEM 34.199219 1751841512.0898
MEM 34.199219 1751841512.1901
MEM 34.199219 1751841512.2904
MEM 34.199219 1751841512.3907
MEM 34.199219 1751841512.4909
MEM 34.199219 1751841512.5911
MEM 34.199219 1751841512.6915
MEM 34.199219 1751841512.7918
MEM 34.199219 1751841512.8920
MEM 34.199219 1751841512.9923
MEM 34.199219 1751841513.0926
MEM 34.199219 1751841513.1928
MEM 34.199219 1751841513.2930
MEM 34.199219 1751841513.3934
MEM 34.199219 1751841513.4936
MEM 34.199219 1751841513.5939
MEM 34.199219 1751841513.6942
MEM 34.199219 1751841513.7944
MEM 34.199219 1751841513.8946
MEM 34.199219 1751841513.9950
MEM 34.199219 1751841514.0953
MEM 34.199219 1751841514.1955
MEM 34.199219 1751841514.2958
MEM 34.199219 1751841514.3961
MEM 34.199219 1751841514.4964
MEM 34.199219 1751841514.5967
MEM 34.199219 1751841514.6970
MEM 34.199219 1751841514.7973
MEM 34.199219 1751841514.8976
MEM 34.199219 1751841514.9979
MEM 34.199219 1751841515.0982
MEM 34.199219 1751841515.1985
MEM 34.199219 1751841515.2988
MEM 34.199219 1751841515.3991
MEM 34.199219 1751841515.4994
MEM 34.199219 1751841515.5997
MEM 34.199219 1751841515.6999
MEM 34.199219 1751841515.8001
MEM 34.199219 1751841515.9005
MEM 34.199219 1751841516.0007
MEM 34.199219 1751841516.1010
MEM 34.199219 1751841516.2013
MEM 34.199219 1751841516.3016
MEM 34.199219 1751841516.4018
MEM 34.199219 1751841516.5021
MEM 34.199219 1751841516.6025
MEM 34.199219 1751841516.7028
MEM 34.199219 1751841516.8031
MEM 34.199219 1751841516.9034
MEM 34.199219 1751841517.0036
MEM 34.199219 1751841517.1038
MEM 34.199219 1751841517.2041
MEM 34.199219 1751841517.3043
MEM 34.199219 1751841517.4046
MEM 34.199219 1751841517.5049
MEM 34.199219 1751841517.6052
MEM 34.199219 1751841517.7055
MEM 34.199219 1751841517.8057
MEM 34.199219 1751841517.9060
MEM 34.199219 1751841518.0062
MEM 34.199219 1751841518.1064
MEM 34.199219 1751841518.2067
MEM 34.199219 1751841518.3069
MEM 34.199219 1751841518.4072
MEM 34.199219 1751841518.5075
MEM 34.199219 1751841518.6077
MEM 34.199219 1751841518.7079
MEM 34.199219 1751841518.8081
MEM 34.199219 1751841518.9084
MEM 34.199219 1751841519.0087
MEM 34.199219 1751841519.1090
MEM 34.199219 1751841519.2093
MEM 34.199219 1751841519.3095
MEM 34.199219 1751841519.4098
MEM 34.199219 1751841519.5100
MEM 34.199219 1751841519.6103
MEM 34.199219 1751841519.7106
MEM 34.199219 1751841519.8110
MEM 34.199219 1751841519.9112
MEM 34.199219 1751841520.0114
MEM 34.199219 1751841520.1117
MEM 34.199219 1751841520.2120
MEM 34.199219 1751841520.3123
MEM 34.199219 1751841520.4125
MEM 34.199219 1751841520.5128
MEM 34.199219 1751841520.6131
MEM 34.199219 1751841520.7134
MEM 34.199219 1751841520.8136
MEM 34.199219 1751841520.9139
MEM 34.199219 1751841521.0141
MEM 34.199219 1751841521.1144
MEM 34.199219 1751841521.2148
MEM 34.199219 1751841521.3150
MEM 34.199219 1751841521.4152
MEM 34.199219 1751841521.5155
MEM 34.199219 1751841521.6157
MEM 34.199219 1751841521.7159
MEM 34.199219 1751841521.8162
MEM 34.199219 1751841521.9165
MEM 34.199219 1751841522.0168
MEM 34.199219 1751841522.1170
MEM 34.199219 1751841522.2173
MEM 34.199219 1751841522.3175
MEM 34.199219 1751841522.4177
MEM 34.199219 1751841522.5180
MEM 34.199219 1751841522.6183
MEM 34.199219 1751841522.7186
MEM 34.199219 1751841522.8188
MEM 34.199219 1751841522.9191
MEM 34.199219 1751841523.0194
MEM 34.199219 1751841523.1196
MEM 34.199219 1751841523.2199
MEM 34.199219 1751841523.3202
MEM 34.199219 1751841523.4205
MEM 34.199219 1751841523.5208
MEM 34.199219 1751841523.6210
MEM 34.199219 1751841523.7213
MEM 34.199219 1751841523.8215
MEM 34.199219 1751841523.9217
MEM 34.199219 1751841524.0220
MEM 34.199219 1751841524.1223
MEM 34.199219 1751841524.2227
MEM 34.199219 1751841524.3229
MEM 34.199219 1751841524.4233
MEM 34.199219 1751841524.5236
MEM 34.199219 1751841524.6239
MEM 34.199219 1751841524.7243
MEM 34.199219 1751841524.8246
MEM 34.199219 1751841524.9249
MEM 34.199219 1751841525.0252
MEM 34.199219 1751841525.1255
MEM 34.199219 1751841525.2257
MEM 34.199219 1751841525.3259
MEM 34.199219 1751841525.4263
MEM 34.199219 1751841525.5266
MEM 34.199219 1751841525.6269
MEM 34.199219 1751841525.7273
MEM 34.199219 1751841525.8276
MEM 34.199219 1751841525.9279
MEM 34.199219 1751841526.0283
MEM 34.199219 1751841526.1286
MEM 34.199219 1751841526.2289
MEM 34.199219 1751841526.3292
MEM 34.199219 1751841526.4294
MEM 34.199219 1751841526.5297
MEM 34.199219 1751841526.6299
MEM 34.199219 1751841526.7302
MEM 34.199219 1751841526.8305
MEM 34.199219 1751841526.9308
MEM 34.199219 1751841527.0310
MEM 34.199219 1751841527.1313
MEM 34.199219 1751841527.2315
MEM 34.199219 1751841527.3319
