CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_systems.py
MEM 0.441406 1751520754.3085
MEM 24.734375 1751520754.4089
MEM 29.824219 1751520754.5092
MEM 30.324219 1751520754.6095
MEM 32.964844 1751520754.7099
MEM 33.714844 1751520754.8102
MEM 33.714844 1751520754.9106
MEM 33.714844 1751520755.0109
MEM 33.714844 1751520755.1113
MEM 33.714844 1751520755.2116
MEM 33.714844 1751520755.3119
MEM 33.714844 1751520755.4123
MEM 33.714844 1751520755.5127
MEM 33.714844 1751520755.6130
MEM 33.714844 1751520755.7134
MEM 33.714844 1751520755.8137
MEM 33.714844 1751520755.9141
MEM 33.714844 1751520756.0144
MEM 33.714844 1751520756.1148
MEM 33.714844 1751520756.2151
MEM 33.714844 1751520756.3155
MEM 33.714844 1751520756.4158
MEM 33.714844 1751520756.5162
MEM 33.714844 1751520756.6165
MEM 33.714844 1751520756.7169
MEM 33.714844 1751520756.8173
MEM 33.714844 1751520756.9176
MEM 33.714844 1751520757.0179
MEM 33.714844 1751520757.1183
MEM 33.714844 1751520757.2187
MEM 33.714844 1751520757.3190
MEM 33.714844 1751520757.4194
MEM 33.714844 1751520757.5197
MEM 33.714844 1751520757.6201
MEM 33.714844 1751520757.7204
MEM 33.714844 1751520757.8208
MEM 33.714844 1751520757.9211
MEM 33.714844 1751520758.0214
MEM 33.714844 1751520758.1218
MEM 33.714844 1751520758.2221
MEM 33.714844 1751520758.3224
MEM 33.714844 1751520758.4228
MEM 33.714844 1751520758.5231
MEM 33.714844 1751520758.6235
MEM 33.714844 1751520758.7238
MEM 33.714844 1751520758.8241
MEM 33.714844 1751520758.9245
MEM 33.714844 1751520759.0248
MEM 33.714844 1751520759.1252
MEM 33.714844 1751520759.2255
MEM 33.714844 1751520759.3259
MEM 33.714844 1751520759.4263
MEM 33.714844 1751520759.5271
MEM 33.714844 1751520759.6274
MEM 33.714844 1751520759.7277
MEM 33.714844 1751520759.8281
MEM 33.714844 1751520759.9284
MEM 33.714844 1751520760.0288
MEM 33.714844 1751520760.1291
MEM 33.714844 1751520760.2294
MEM 33.714844 1751520760.3298
MEM 33.714844 1751520760.4302
MEM 33.714844 1751520760.5305
MEM 33.714844 1751520760.6309
MEM 33.714844 1751520760.7312
MEM 33.714844 1751520760.8316
MEM 33.714844 1751520760.9319
MEM 33.714844 1751520761.0322
MEM 33.714844 1751520761.1326
MEM 33.714844 1751520761.2329
MEM 33.714844 1751520761.3332
MEM 33.714844 1751520761.4336
MEM 33.714844 1751520761.5339
MEM 33.714844 1751520761.6343
MEM 33.714844 1751520761.7346
MEM 33.714844 1751520761.8349
MEM 33.714844 1751520761.9353
MEM 33.714844 1751520762.0357
MEM 33.714844 1751520762.1360
MEM 33.714844 1751520762.2364
MEM 33.714844 1751520762.3367
MEM 33.714844 1751520762.4371
MEM 33.714844 1751520762.5374
MEM 33.714844 1751520762.6378
MEM 33.714844 1751520762.7382
MEM 33.714844 1751520762.8385
MEM 33.714844 1751520762.9389
MEM 33.714844 1751520763.0393
MEM 33.714844 1751520763.1396
MEM 33.714844 1751520763.2399
MEM 33.714844 1751520763.3403
MEM 33.714844 1751520763.4407
MEM 33.714844 1751520763.5410
MEM 33.714844 1751520763.6414
MEM 33.714844 1751520763.7417
MEM 33.714844 1751520763.8420
MEM 33.714844 1751520763.9424
MEM 33.714844 1751520764.0428
MEM 33.714844 1751520764.1431
MEM 33.714844 1751520764.2434
MEM 33.714844 1751520764.3438
MEM 33.714844 1751520764.4441
MEM 33.714844 1751520764.5445
MEM 33.714844 1751520764.6448
MEM 33.714844 1751520764.7452
MEM 33.714844 1751520764.8455
MEM 33.714844 1751520764.9459
MEM 33.714844 1751520765.0462
MEM 33.714844 1751520765.1466
MEM 33.714844 1751520765.2469
MEM 33.714844 1751520765.3473
MEM 33.714844 1751520765.4477
MEM 33.714844 1751520765.5480
MEM 33.714844 1751520765.6484
MEM 33.714844 1751520765.7487
MEM 33.714844 1751520765.8491
MEM 33.714844 1751520765.9494
MEM 33.714844 1751520766.0498
MEM 33.714844 1751520766.1501
MEM 33.714844 1751520766.2504
MEM 33.714844 1751520766.3508
MEM 33.714844 1751520766.4511
MEM 33.714844 1751520766.5515
MEM 33.714844 1751520766.6518
MEM 33.714844 1751520766.7521
MEM 33.714844 1751520766.8525
MEM 33.714844 1751520766.9528
MEM 33.714844 1751520767.0531
MEM 33.714844 1751520767.1535
MEM 33.714844 1751520767.2539
MEM 33.714844 1751520767.3542
MEM 33.714844 1751520767.4546
MEM 33.714844 1751520767.5549
MEM 33.714844 1751520767.6553
MEM 33.714844 1751520767.7556
MEM 33.714844 1751520767.8560
MEM 33.714844 1751520767.9564
MEM 33.714844 1751520768.0567
MEM 33.714844 1751520768.1571
MEM 33.714844 1751520768.2574
MEM 33.714844 1751520768.3577
MEM 33.714844 1751520768.4581
MEM 33.714844 1751520768.5584
MEM 33.714844 1751520768.6588
MEM 33.714844 1751520768.7591
MEM 33.714844 1751520768.8595
MEM 33.714844 1751520768.9598
MEM 33.714844 1751520769.0601
MEM 33.714844 1751520769.1605
MEM 33.714844 1751520769.2608
MEM 33.714844 1751520769.3612
MEM 33.714844 1751520769.4615
MEM 33.714844 1751520769.5619
MEM 33.714844 1751520769.6623
MEM 33.714844 1751520769.7626
MEM 33.714844 1751520769.8630
MEM 33.714844 1751520769.9633
MEM 33.714844 1751520770.0637
MEM 33.714844 1751520770.1640
MEM 33.714844 1751520770.2644
MEM 33.714844 1751520770.3647
MEM 33.714844 1751520770.4651
MEM 33.714844 1751520770.5654
MEM 33.714844 1751520770.6657
MEM 33.714844 1751520770.7661
MEM 33.714844 1751520770.8664
MEM 33.714844 1751520770.9668
MEM 33.714844 1751520771.0671
MEM 33.714844 1751520771.1675
MEM 33.714844 1751520771.2678
MEM 33.714844 1751520771.3682
MEM 33.714844 1751520771.4686
MEM 33.714844 1751520771.5690
MEM 33.714844 1751520771.6694
MEM 33.714844 1751520771.7697
MEM 33.714844 1751520771.8700
MEM 33.714844 1751520771.9704
MEM 33.714844 1751520772.0707
MEM 33.714844 1751520772.1711
MEM 33.714844 1751520772.2714
MEM 33.714844 1751520772.3717
MEM 33.714844 1751520772.4721
MEM 33.714844 1751520772.5725
MEM 33.714844 1751520772.6728
MEM 33.714844 1751520772.7732
MEM 33.714844 1751520772.8735
MEM 33.714844 1751520772.9738
MEM 33.714844 1751520773.0742
MEM 33.714844 1751520773.1745
MEM 33.714844 1751520773.2749
MEM 33.714844 1751520773.3752
MEM 33.714844 1751520773.4756
MEM 33.714844 1751520773.5759
MEM 33.714844 1751520773.6763
MEM 33.714844 1751520773.7767
MEM 33.714844 1751520773.8770
MEM 33.714844 1751520773.9773
MEM 33.714844 1751520774.0777
MEM 33.714844 1751520774.1780
MEM 33.714844 1751520774.2783
MEM 33.714844 1751520774.3787
MEM 33.714844 1751520774.4790
MEM 33.714844 1751520774.5793
MEM 33.714844 1751520774.6797
MEM 33.714844 1751520774.7801
MEM 33.714844 1751520774.8804
MEM 33.714844 1751520774.9807
MEM 33.714844 1751520775.0810
MEM 33.714844 1751520775.1814
MEM 33.714844 1751520775.2817
MEM 33.714844 1751520775.3820
MEM 33.714844 1751520775.4824
MEM 33.714844 1751520775.5827
MEM 33.714844 1751520775.6830
MEM 33.714844 1751520775.7834
MEM 33.714844 1751520775.8837
MEM 33.714844 1751520775.9841
MEM 33.714844 1751520776.0844
MEM 33.714844 1751520776.1847
MEM 33.714844 1751520776.2851
MEM 33.714844 1751520776.3854
MEM 33.714844 1751520776.4858
MEM 33.714844 1751520776.5861
MEM 33.714844 1751520776.6864
MEM 33.714844 1751520776.7867
MEM 33.714844 1751520776.8870
MEM 33.714844 1751520776.9874
MEM 33.714844 1751520777.0877
MEM 33.714844 1751520777.1881
MEM 33.714844 1751520777.2884
MEM 33.714844 1751520777.3888
MEM 33.714844 1751520777.4891
MEM 33.714844 1751520777.5894
MEM 33.714844 1751520777.6897
MEM 33.714844 1751520777.7901
MEM 33.714844 1751520777.8904
MEM 33.714844 1751520777.9908
MEM 33.714844 1751520778.0911
MEM 33.714844 1751520778.1914
MEM 33.714844 1751520778.2918
MEM 33.714844 1751520778.3921
MEM 33.714844 1751520778.4924
MEM 33.714844 1751520778.5928
MEM 33.714844 1751520778.6931
MEM 33.714844 1751520778.7934
MEM 33.714844 1751520778.8938
MEM 33.714844 1751520778.9941
MEM 33.714844 1751520779.0945
MEM 33.714844 1751520779.1948
MEM 33.714844 1751520779.2951
MEM 33.714844 1751520779.3955
MEM 33.714844 1751520779.4958
MEM 33.714844 1751520779.5962
MEM 33.714844 1751520779.6965
MEM 33.714844 1751520779.7969
MEM 33.714844 1751520779.8973
MEM 33.714844 1751520779.9977
MEM 33.714844 1751520780.0980
MEM 33.714844 1751520780.1984
MEM 33.714844 1751520780.2987
MEM 33.714844 1751520780.3991
MEM 33.714844 1751520780.4994
MEM 33.714844 1751520780.5997
MEM 33.714844 1751520780.7000
MEM 33.714844 1751520780.8004
MEM 33.714844 1751520780.9008
MEM 33.714844 1751520781.0011
MEM 33.714844 1751520781.1014
MEM 33.714844 1751520781.2017
MEM 33.714844 1751520781.3021
MEM 33.714844 1751520781.4024
MEM 33.714844 1751520781.5028
MEM 33.714844 1751520781.6031
MEM 33.714844 1751520781.7035
MEM 33.714844 1751520781.8038
MEM 33.714844 1751520781.9042
MEM 33.714844 1751520782.0045
MEM 33.714844 1751520782.1049
MEM 33.714844 1751520782.2053
MEM 33.714844 1751520782.3056
MEM 33.714844 1751520782.4059
MEM 33.714844 1751520782.5063
MEM 33.714844 1751520782.6067
MEM 33.714844 1751520782.7070
MEM 33.714844 1751520782.8074
MEM 33.714844 1751520782.9077
MEM 33.714844 1751520783.0080
MEM 33.714844 1751520783.1084
MEM 33.714844 1751520783.2087
MEM 33.714844 1751520783.3091
MEM 33.714844 1751520783.4094
MEM 33.714844 1751520783.5097
MEM 33.714844 1751520783.6101
MEM 33.714844 1751520783.7104
MEM 33.714844 1751520783.8107
MEM 33.714844 1751520783.9110
MEM 33.714844 1751520784.0114
MEM 33.714844 1751520784.1118
MEM 33.714844 1751520784.2121
