CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_dummy.py
MEM 0.441406 1751520741.3097
MEM 23.050781 1751520741.4100
MEM 23.050781 1751520741.5104
MEM 23.050781 1751520741.6107
MEM 23.050781 1751520741.7110
MEM 23.050781 1751520741.8114
MEM 23.050781 1751520741.9118
MEM 23.050781 1751520742.0121
MEM 23.050781 1751520742.1124
MEM 23.050781 1751520742.2127
MEM 23.050781 1751520742.3130
MEM 23.050781 1751520742.4134
MEM 23.050781 1751520742.5137
MEM 23.050781 1751520742.6141
MEM 23.050781 1751520742.7144
MEM 23.050781 1751520742.8148
MEM 23.050781 1751520742.9151
MEM 23.050781 1751520743.0154
MEM 23.050781 1751520743.1158
MEM 23.050781 1751520743.2161
MEM 23.050781 1751520743.3165
MEM 23.050781 1751520743.4168
MEM 23.050781 1751520743.5171
MEM 23.050781 1751520743.6174
MEM 23.050781 1751520743.7178
MEM 23.050781 1751520743.8181
MEM 23.050781 1751520743.9184
MEM 23.050781 1751520744.0187
MEM 23.050781 1751520744.1191
MEM 23.050781 1751520744.2194
MEM 23.050781 1751520744.3197
MEM 23.050781 1751520744.4200
