CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_systems.py
MEM 0.281250 1751521602.2213
MEM 25.195312 1751521602.3217
MEM 29.906250 1751521602.4220
MEM 32.531250 1751521602.5223
MEM 33.781250 1751521602.6226
MEM 33.781250 1751521602.7229
MEM 33.781250 1751521602.8232
MEM 33.781250 1751521602.9236
MEM 33.781250 1751521603.0239
MEM 33.781250 1751521603.1242
MEM 33.781250 1751521603.2245
MEM 33.781250 1751521603.3248
MEM 33.781250 1751521603.4251
MEM 33.781250 1751521603.5255
MEM 33.781250 1751521603.6258
MEM 33.781250 1751521603.7261
MEM 33.781250 1751521603.8264
MEM 33.781250 1751521603.9267
MEM 33.781250 1751521604.0270
MEM 33.781250 1751521604.1273
MEM 33.781250 1751521604.2276
MEM 33.781250 1751521604.3279
MEM 33.781250 1751521604.4283
MEM 33.781250 1751521604.5286
MEM 33.781250 1751521604.6289
MEM 33.781250 1751521604.7292
MEM 33.781250 1751521604.8295
MEM 33.781250 1751521604.9298
MEM 33.781250 1751521605.0301
MEM 33.781250 1751521605.1304
MEM 33.781250 1751521605.2307
MEM 33.781250 1751521605.3310
MEM 33.781250 1751521605.4313
MEM 33.781250 1751521605.5316
MEM 33.781250 1751521605.6319
MEM 33.781250 1751521605.7323
MEM 33.781250 1751521605.8326
MEM 33.781250 1751521605.9329
MEM 33.781250 1751521606.0332
MEM 33.781250 1751521606.1335
MEM 33.781250 1751521606.2338
MEM 33.781250 1751521606.3341
MEM 33.781250 1751521606.4344
MEM 33.781250 1751521606.5348
MEM 33.781250 1751521606.6350
MEM 33.781250 1751521606.7354
MEM 33.781250 1751521606.8357
MEM 33.781250 1751521606.9360
MEM 33.781250 1751521607.0363
MEM 33.781250 1751521607.1366
MEM 33.781250 1751521607.2369
MEM 33.781250 1751521607.3373
MEM 33.781250 1751521607.4376
MEM 33.781250 1751521607.5379
MEM 33.781250 1751521607.6382
MEM 33.781250 1751521607.7386
MEM 33.781250 1751521607.8389
MEM 33.781250 1751521607.9392
MEM 33.781250 1751521608.0395
MEM 33.781250 1751521608.1399
MEM 33.781250 1751521608.2402
MEM 33.781250 1751521608.3405
MEM 33.781250 1751521608.4408
MEM 33.781250 1751521608.5411
MEM 33.781250 1751521608.6414
MEM 33.781250 1751521608.7417
MEM 33.781250 1751521608.8420
MEM 33.781250 1751521608.9423
MEM 33.781250 1751521609.0440
MEM 33.781250 1751521609.1443
MEM 33.781250 1751521609.2447
MEM 33.781250 1751521609.3449
MEM 33.781250 1751521609.4453
MEM 33.781250 1751521609.5456
MEM 33.781250 1751521609.6459
MEM 33.781250 1751521609.7462
MEM 33.781250 1751521609.8465
MEM 33.781250 1751521609.9468
MEM 33.781250 1751521610.0472
MEM 33.781250 1751521610.1475
MEM 33.781250 1751521610.2478
MEM 33.781250 1751521610.3481
MEM 33.781250 1751521610.4484
MEM 33.781250 1751521610.5487
MEM 33.781250 1751521610.6490
MEM 33.781250 1751521610.7494
MEM 33.781250 1751521610.8497
MEM 33.781250 1751521610.9500
MEM 33.781250 1751521611.0503
MEM 33.781250 1751521611.1506
MEM 33.781250 1751521611.2509
MEM 33.781250 1751521611.3512
MEM 33.781250 1751521611.4516
MEM 33.781250 1751521611.5518
MEM 33.781250 1751521611.6521
MEM 33.781250 1751521611.7524
MEM 33.781250 1751521611.8527
MEM 33.781250 1751521611.9530
MEM 33.781250 1751521612.0533
MEM 33.781250 1751521612.1537
MEM 33.781250 1751521612.2540
MEM 33.781250 1751521612.3543
MEM 33.781250 1751521612.4547
MEM 33.781250 1751521612.5550
MEM 33.781250 1751521612.6553
MEM 33.781250 1751521612.7556
MEM 33.781250 1751521612.8559
MEM 33.781250 1751521612.9562
MEM 33.781250 1751521613.0565
MEM 33.781250 1751521613.1568
MEM 33.781250 1751521613.2571
MEM 33.781250 1751521613.3575
MEM 33.781250 1751521613.4578
MEM 33.781250 1751521613.5581
MEM 33.781250 1751521613.6584
MEM 33.781250 1751521613.7587
MEM 33.781250 1751521613.8590
MEM 33.781250 1751521613.9594
MEM 33.781250 1751521614.0597
MEM 33.781250 1751521614.1600
MEM 33.781250 1751521614.2603
MEM 33.781250 1751521614.3606
