CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_systems.py
MEM 0.273438 1751521628.5647
MEM 25.089844 1751521628.6651
MEM 29.824219 1751521628.7654
MEM 32.218750 1751521628.8657
MEM 33.843750 1751521628.9660
MEM 33.843750 1751521629.0663
MEM 33.843750 1751521629.1667
MEM 33.843750 1751521629.2670
MEM 33.843750 1751521629.3673
MEM 33.843750 1751521629.4677
MEM 33.843750 1751521629.5680
MEM 33.843750 1751521629.6683
MEM 33.843750 1751521629.7686
MEM 33.843750 1751521629.8690
MEM 33.843750 1751521629.9693
MEM 33.843750 1751521630.0696
MEM 33.843750 1751521630.1699
MEM 33.843750 1751521630.2702
MEM 33.843750 1751521630.3706
MEM 33.843750 1751521630.4709
MEM 33.843750 1751521630.5713
MEM 33.843750 1751521630.6716
MEM 33.843750 1751521630.7719
MEM 33.843750 1751521630.8722
MEM 33.843750 1751521630.9725
MEM 33.843750 1751521631.0729
MEM 33.843750 1751521631.1732
MEM 33.843750 1751521631.2735
MEM 33.843750 1751521631.3739
MEM 33.843750 1751521631.4742
MEM 33.843750 1751521631.5745
MEM 33.843750 1751521631.6749
MEM 33.843750 1751521631.7752
MEM 33.843750 1751521631.8755
MEM 33.843750 1751521631.9759
MEM 33.843750 1751521632.0762
MEM 33.843750 1751521632.1765
MEM 33.843750 1751521632.2769
MEM 33.843750 1751521632.3772
MEM 33.843750 1751521632.4775
MEM 33.843750 1751521632.5779
MEM 33.843750 1751521632.6782
MEM 33.843750 1751521632.7785
MEM 33.843750 1751521632.8789
MEM 33.843750 1751521632.9792
MEM 33.843750 1751521633.0795
MEM 33.843750 1751521633.1799
MEM 33.843750 1751521633.2821
MEM 33.843750 1751521633.3824
MEM 33.843750 1751521633.4827
MEM 33.843750 1751521633.5831
MEM 33.843750 1751521633.6834
MEM 33.843750 1751521633.7838
MEM 33.843750 1751521633.8841
MEM 33.843750 1751521633.9844
MEM 33.843750 1751521634.0847
MEM 33.843750 1751521634.1851
MEM 33.843750 1751521634.2854
MEM 33.843750 1751521634.3857
MEM 33.843750 1751521634.4861
MEM 33.843750 1751521634.5864
MEM 33.843750 1751521634.6867
MEM 33.843750 1751521634.7870
MEM 33.843750 1751521634.8873
MEM 33.843750 1751521634.9877
MEM 33.843750 1751521635.0880
MEM 33.843750 1751521635.1884
MEM 33.843750 1751521635.2887
MEM 33.843750 1751521635.3891
MEM 33.843750 1751521635.4894
