CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_disperse.py
MEM 0.281250 1752203365.8164
MEM 26.296875 1752203365.9167
MEM 29.218750 1752203366.0170
MEM 34.218750 1752203366.1173
MEM 37.218750 1752203366.2176
MEM 44.343750 1752203366.3180
MEM 56.593750 1752203366.4183
MEM 71.343750 1752203366.5187
MEM 69.753906 1752203366.6190
MEM 68.820312 1752203366.7194
MEM 77.320312 1752203366.8197
MEM 88.195312 1752203366.9200
MEM 98.695312 1752203367.0204
MEM 99.445312 1752203367.1207
MEM 96.113281 1752203367.2210
MEM 105.988281 1752203367.3214
MEM 115.738281 1752203367.4218
MEM 128.863281 1752203367.5221
MEM 128.660156 1752203367.6224
MEM 123.316406 1752203367.7228
MEM 107.066406 1752203367.8231
